,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Росавтобанк,4.49,4.86,3.74,4.13,3.62,3.98,4.22,3.47,3.67,4.64,4.51,3.33,#NUM!
Авангард,3.78,3.00,4.72,4.33,3.95,2.93,4.82,2.77,4.57,4.42,4.29,3.04,3.65
Тинькофф Банк,3.32,2.98,3.88,2.83,3.08,3.51,2.37,4.18,3.81,2.65,4.26,2.85,3.72
АйМаниБанк,2.5,2.77,1.83,2.55,2.25,1.82,2.19,2.02,1.79,2.68,3.06,3.08,2.25
РосинтерБанк,2.47,2.95,2.71,3.08,1.81,1.87,1.94,2.82,3.20,1.89,3.16,2.66,2.45
Альфа-Банк,2.07,1.82,1.67,2.21,1.92,2.43,1.81,2.46,2.34,2.48,1.85,2.23,1.93
Сетелем Банк,1.93,1.83,1.88,2.15,2.45,2.12,1.78,2.11,1.39,1.63,2.40,1.76,1.49
ВТБ 24,2.03,1.75,2.18,2.25,2.57,1.72,2.06,2.48,1.91,1.48,2.34,1.95,2.19
Бинбанк,1.92,1.50,2.28,1.60,1.57,2.08,2.11,1.91,2.26,1.80,1.96,2.22,2.39
Локо-Банк,1.84,2.23,2.21,1.87,2.16,2.12,2.14,2.03,2.18,1.38,2.39,1.77,1.50
Ситибанк,2.18,2.45,2.80,2.17,2.60,2.30,1.74,1.97,2.59,2.72,2.14,2.54,1.77
Югра,2.21,1.66,1.79,2.81,2.48,2.36,2.18,2.13,1.69,1.98,2.12,2.36,1.73
Арксбанк,2.62,2.49,2.92,2.24,3.36,3.01,2.41,1.84,2.52,1.96,3.12,3.00,2.91
ЮниКредит Банк,1.76,1.60,1.27,1.69,1.39,1.41,2.04,1.49,1.53,1.59,1.89,1.38,1.28
Совкомбанк,1.83,1.92,1.67,1.33,2.22,1.60,2.21,1.31,2.25,1.88,2.03,2.01,1.64
Интеркоммерц Банк,2.21,2.51,2.45,2.50,2.70,2.13,2.27,2.87,2.51,2.16,2.34,1.55,1.91
Ханты-Мансийский банк Открытие,1.7,1.67,1.76,1.75,1.24,1.33,1.77,2.03,1.96,1.42,2.10,1.33,1.97
БМ-Банк (бывш. Банк Москвы),2.12,2.34,1.87,2.17,1.72,2.27,2.41,2.66,2.03,2.39,2.17,1.75,1.57
Промсвязьбанк,1.96,2.00,2.40,1.81,1.71,1.57,1.82,2.34,2.50,1.90,1.54,2.19,2.11
Абсолют Банк,1.91,1.85,2.40,1.36,1.74,2.18,1.80,2.31,1.53,1.47,2.28,1.96,2.38
Ренессанс Кредит,1.75,1.58,1.73,1.30,2.22,2.17,1.56,1.82,1.42,1.44,1.47,1.84,1.64
Московский Кредитный Банк,1.87,1.63,1.35,2.05,1.42,1.86,1.88,2.41,1.98,1.67,2.00,2.22,2.11
Русфинанс Банк,2.26,2.29,2.76,1.99,2.75,1.79,2.60,1.76,1.91,1.60,1.83,1.59,1.81
Яндекс.Деньги,1.46,1.46,1.43,1.80,1.31,1.07,1.46,1.12,1.08,1.17,1.51,1.05,1.79
Банк «Санкт-Петербург»,1.77,2.02,2.24,1.64,1.36,1.30,1.80,1.70,1.33,1.87,1.58,1.64,2.30
Уральский Банк Реконструкции и Развития,1.87,2.03,1.92,1.89,1.90,1.50,2.24,1.85,2.15,1.87,1.44,2.33,1.57
Росбанк,1.57,1.44,2.04,1.56,1.94,1.70,1.66,1.35,1.38,1.37,1.83,1.39,1.40
МДМ Банк,1.72,1.83,1.96,1.87,1.66,1.26,1.66,1.96,1.49,1.72,1.98,1.96,1.59
Инвестторгбанк,1.98,1.85,2.14,1.99,2.22,2.20,2.46,1.42,1.61,1.69,2.26,1.44,2.37
Райффайзенбанк,1.89,1.81,1.55,2.25,2.35,2.17,1.87,1.86,2.41,1.48,2.39,1.66,2.35
Русский Стандарт,1.75,2.17,1.68,1.24,1.71,1.91,1.59,1.72,2.24,1.68,1.91,2.10,1.94
Московский Областной Банк,1.57,1.92,1.14,1.58,1.25,1.22,1.94,1.72,1.39,1.76,1.67,1.75,1.79
Киви Банк,1.63,1.98,2.07,1.25,1.36,1.15,1.37,1.31,1.77,1.25,1.26,1.54,2.09
ФК Открытие,1.61,1.32,1.29,1.41,1.83,1.67,1.84,1.87,1.60,1.58,1.79,2.05,1.37
Хоум Кредит Банк,1.66,1.49,1.70,2.10,1.68,2.02,1.64,1.47,1.67,1.75,1.23,1.56,2.06
Восточный Экспресс Банк,1.57,1.90,2.00,1.18,1.92,1.91,1.41,1.38,1.93,1.95,1.82,2.04,1.22
ОТП Банк,1.4,1.15,1.60,1.22,1.64,1.13,1.37,1.78,1.25,1.00,1.54,1.50,1.79
Кредит Европа Банк,1.35,1.49,1.14,1.35,1.11,1.16,1.33,1.08,1.61,1.74,1.75,1.13,1.00
Юниаструм Банк,1.59,1.23,1.62,1.47,1.23,1.91,1.47,1.36,1.85,1.83,1.95,1.40,1.25
Сбербанк России,1.49,1.14,1.39,1.21,1.87,1.44,1.42,1.16,1.35,1.55,1.72,1.76,1.64
Газпромбанк,1.59,1.23,1.73,1.86,1.47,1.14,1.32,1.81,1.71,1.54,1.72,1.86,1.94
Национальный Банк «Траст»,1.46,1.38,1.19,1.53,1.70,1.65,1.43,1.21,1.26,1.79,1.74,1.45,1.42
Россельхозбанк,1.6,1.34,1.62,1.57,1.61,1.31,1.32,2.06,1.78,1.14,1.32,1.50,1.55
АктивКапитал Банк,1.62,1.94,1.28,1.66,1.69,1.16,1.28,1.81,1.43,1.64,2.03,1.54,1.48
Бинбанк кредитные карты,1.35,0.98,1.60,1.53,1.39,1.19,1.72,1.27,1.40,1.07,1.02,1.25,1.69
Банк Уралсиб,1.48,1.30,1.27,1.71,1.15,1.41,1.44,1.33,1.55,1.53,1.89,1.48,1.56
МТС Банк,1.38,1.74,1.42,1.79,1.38,1.78,1.40,1.46,1.53,1.58,1.30,1.76,1.57
Росгосстрах Банк,1.39,1.01,1.20,1.73,1.65,0.99,1.48,1.52,1.06,1.59,1.31,1.76,1.36
Балтинвестбанк,1.36,1.43,1.09,1.58,1.19,1.06,1.51,1.50,1.25,1.54,1.66,1.21,1.48
Почта Банк,1.32,1.16,1.10,1.65,1.68,1.51,1.19,1.46,0.95,1.44,1.25,1.17,1.41
