,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
ДельтаКредит,4.63,3.62,4.56,3.83,4.04,4.66,3.28,4.61,4.62,4.59,4.49,4.08,#NUM!
Авангард,4.11,4.12,4.48,4.80,3.41,2.91,3.80,4.84,3.35,4.95,3.34,4.77,#NUM!
Пробизнесбанк,4.36,3.07,3.64,4.76,3.39,4.88,4.25,4.05,3.51,4.61,4.86,4.76,#NUM!
Тинькофф Банк,3.9,4.54,4.38,3.91,3.25,4.30,3.88,3.92,3.18,4.21,4.13,3.48,#NUM!
Банк Проектного Финансирования,3.87,2.91,2.73,4.30,3.33,3.32,3.33,2.80,4.88,4.95,4.58,4.65,#NUM!
Инвестбанк,3.84,3.30,4.63,3.21,4.34,3.64,2.87,3.17,4.67,2.82,2.71,4.49,4.95
Первый Республиканский Банк,3.95,4.03,4.90,2.93,4.17,3.47,3.19,3.33,2.99,2.94,4.64,4.77,#NUM!
СМП Банк,3.53,3.97,2.48,4.35,3.95,2.78,4.41,3.97,3.64,3.35,3.83,3.42,4.29
АМТ Банк,3.64,3.46,3.35,4.22,3.52,4.44,3.65,2.66,3.60,3.85,2.84,3.36,4.39
Московский Областной Банк,3.35,3.98,3.90,3.66,3.16,4.32,2.74,3.76,3.13,2.88,2.48,3.72,2.50
Абсолют Банк,3.3,3.47,3.02,3.33,2.53,2.76,4.01,3.54,3.09,4.16,3.79,4.09,3.05
Мастер-Банк,2.92,2.28,3.15,3.53,2.05,3.41,3.22,3.52,3.08,3.28,3.61,2.66,2.81
Банк24.ру,3,2.40,3.17,2.15,3.41,2.78,2.68,2.29,3.49,3.00,2.30,2.45,3.61
Банк ИТБ,3.08,3.05,3.35,2.91,3.37,3.14,2.57,3.75,2.40,3.75,2.41,2.66,3.88
Хоум Кредит Банк,2.82,2.83,2.41,2.72,2.72,3.03,3.19,3.26,2.14,3.32,2.43,3.52,3.57
Москоммерцбанк,3.05,2.33,2.26,3.81,2.95,3.58,3.56,3.25,3.19,2.81,2.73,3.12,3.26
Московский Кредитный Банк,2.85,3.51,2.15,3.33,2.97,3.38,2.22,2.12,3.30,3.45,3.10,3.65,3.49
Связной Банк,2.74,2.82,2.29,2.40,3.19,3.36,2.16,2.71,2.77,3.32,3.25,2.96,2.10
Ренессанс Кредит,2.57,1.90,2.30,2.30,2.10,2.88,2.31,2.11,2.13,2.25,2.84,2.49,2.60
Промсвязьбанк,2.71,2.14,2.68,3.50,2.86,2.75,2.73,2.27,3.18,2.40,2.73,3.04,1.91
Национальный Банк «Траст»,2.67,2.08,2.08,2.68,2.30,3.29,2.19,2.35,2.55,3.24,3.44,2.67,2.25
Росгосстрах Банк,2.65,2.97,1.91,2.03,2.68,2.17,1.91,2.73,2.35,2.93,2.56,2.00,1.90
ВТБ 24,2.32,2.57,2.91,2.37,2.82,1.72,1.91,2.62,1.94,1.85,2.24,1.92,2.32
Восточный Экспресс Банк,2.6,1.98,2.25,2.50,2.20,3.35,2.40,1.86,3.24,2.06,2.94,3.03,1.91
Инвестторгбанк,2.74,3.43,3.43,2.13,2.86,2.19,2.68,2.62,2.54,1.94,2.16,2.67,2.13
Райффайзенбанк,2.31,1.69,1.76,1.63,2.61,2.66,1.83,2.09,2.15,1.74,2.92,2.04,2.20
ЮниКредит Банк,2.42,2.12,2.99,3.04,2.08,2.71,3.03,1.78,2.35,2.65,3.07,2.03,1.99
Балтийский Банк,2.5,1.85,2.21,2.99,1.84,1.77,2.67,3.04,2.96,2.46,1.90,2.26,3.07
Альфа-Банк,2.15,2.23,1.54,2.18,2.33,1.98,2.35,1.95,2.64,2.26,1.93,2.75,2.40
ОТП Банк,2.38,2.31,3.02,3.04,2.03,2.71,1.75,2.97,2.66,2.19,2.24,1.72,2.11
Океан Банк,1.79,1.87,1.46,1.40,1.64,2.11,1.64,2.29,2.03,2.29,1.88,2.09,1.68
Банк Финсервис,1.96,2.48,1.92,2.48,2.40,2.29,2.25,2.03,2.08,2.34,2.14,2.17,1.50
Возрождение,2.29,1.72,1.84,2.17,2.43,2.67,2.21,1.72,1.71,2.65,2.53,2.64,2.81
Газпромбанк,2.16,1.72,2.40,1.96,2.29,1.73,2.06,2.05,1.96,1.61,1.73,2.04,2.28
Русфинанс Банк,2.3,2.13,2.48,2.86,2.16,2.46,2.29,2.84,1.68,1.66,1.88,2.44,2.09
Бинбанк,2.15,1.66,1.78,2.61,1.76,2.68,2.25,2.79,2.33,1.67,1.81,1.51,1.72
Сбербанк России,2.04,2.15,2.36,1.49,1.60,1.79,2.44,1.65,2.55,1.57,1.72,1.88,2.25
МДМ Банк,1.98,1.84,2.31,1.73,1.63,1.72,1.56,2.21,1.68,2.53,2.25,2.55,2.42
Ханты-Мансийский банк Открытие,2.06,2.56,1.54,2.65,2.56,2.21,1.94,2.38,2.28,2.05,1.82,2.66,1.52
Банк Уралсиб,2.09,2.37,2.04,1.91,2.06,2.62,1.80,1.63,2.29,2.71,1.79,1.96,2.16
Экспобанк,2.03,1.54,2.20,1.66,2.33,2.13,2.07,2.53,1.75,2.34,1.83,2.53,1.52
Кредит Европа Банк,1.99,1.60,2.55,1.51,1.90,2.38,1.70,2.26,2.42,2.04,1.48,1.82,1.40
Бинбанк кредитные карты,1.98,1.49,2.22,1.47,2.53,1.98,2.43,2.10,1.55,2.46,2.06,1.48,2.54
Русский Стандарт,1.93,1.40,1.75,1.73,1.95,1.82,2.44,2.07,2.45,1.77,1.96,2.36,1.93
БМ-Банк (бывш. Банк Москвы),2.07,1.94,2.28,2.50,2.66,2.47,2.44,2.65,2.45,2.34,2.62,2.55,2.09
Росбанк,2.02,1.63,2.37,1.95,1.86,2.57,1.46,1.76,1.99,2.20,2.48,2.22,2.42
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),1.93,2.25,2.18,1.68,1.78,1.97,1.54,1.58,2.27,1.56,1.36,1.41,2.32
Ситибанк,2.06,2.07,1.98,2.11,2.20,1.92,1.71,2.06,2.37,2.60,2.32,1.64,2.24
Юниаструм Банк,2.22,2.06,2.31,2.05,1.94,2.35,2.81,1.64,2.86,1.71,2.49,2.19,1.56
