,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Росавтобанк,4.63,4.21,4.07,4.72,3.98,4.49,3.34,4.52,4.81,4.18,4.48,4.61,#NUM!
СБ Банк (Судостроительный банк),4.51,4.44,4.84,4.24,3.19,4.95,4.78,4.42,3.57,4.57,3.38,3.71,#NUM!
Авангард,3.86,4.47,3.77,4.40,4.55,3.93,4.32,4.38,4.17,3.14,3.39,3.20,#NUM!
Тинькофф Банк,3.49,3.37,4.00,2.84,3.78,3.54,3.07,2.75,4.27,2.92,3.69,4.47,3.34
Банк24.ру,3.76,4.24,4.88,3.18,4.17,3.89,3.38,3.27,3.59,2.83,2.69,4.23,4.53
ДельтаКредит,3.68,4.38,4.72,3.33,3.25,3.65,3.65,3.55,3.57,2.73,4.49,2.64,3.14
Московский Областной Банк,3.36,4.35,2.36,2.50,4.21,2.64,3.83,3.34,3.96,3.62,3.75,3.52,3.56
АйМаниБанк,2.67,2.41,2.67,2.28,3.15,3.45,2.74,2.70,1.97,2.38,2.82,2.05,2.35
СМП Банк,3.05,2.54,3.73,3.91,3.93,3.54,3.19,3.58,2.36,2.88,3.77,3.44,3.06
БМ-Банк (бывш. Банк Москвы),2.92,3.56,2.50,2.38,2.80,2.45,3.26,2.38,3.17,3.46,3.15,3.55,3.39
РосинтерБанк,2.74,2.63,2.00,2.22,2.04,3.34,2.32,3.07,2.11,2.88,3.40,2.65,2.35
Бинбанк,2.04,2.13,1.45,1.80,1.52,1.51,1.93,2.16,2.56,1.69,1.95,1.87,1.68
Югра,2.63,2.28,3.36,3.40,2.10,2.91,2.82,3.38,2.03,2.64,2.67,2.59,3.24
Восточный Экспресс Банк,2.05,1.68,1.44,2.53,2.52,1.48,1.64,1.67,1.77,2.39,1.63,2.59,2.41
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),2.72,2.36,3.02,3.17,2.37,2.05,2.38,2.27,2.83,2.10,3.07,3.12,3.12
МДМ Банк,2.34,2.06,2.44,2.87,2.47,2.67,2.55,2.80,2.13,1.79,2.88,2.04,2.62
ЮниКредит Банк,1.93,2.02,1.69,1.93,1.95,2.31,1.43,1.72,2.01,1.70,1.50,1.53,1.47
Петрокоммерц,2.33,2.22,2.45,2.69,2.90,2.59,2.42,2.22,2.20,2.67,1.87,1.73,2.81
Сетелем Банк,2.15,1.65,2.16,2.45,2.61,2.12,2.59,1.88,1.71,2.63,1.79,1.71,1.93
Банк «Санкт-Петербург»,2.33,2.28,2.29,2.20,2.24,2.26,2.00,1.66,1.83,2.15,2.77,2.76,1.92
2Т Банк,2.42,2.73,3.03,2.86,3.08,3.13,2.27,2.44,2.55,2.31,2.54,2.38,2.14
Ханты-Мансийский банк Открытие,1.87,1.97,1.31,1.61,1.39,1.96,2.15,1.51,1.79,1.36,1.97,2.13,1.78
Связной Банк,2.18,2.29,2.55,2.66,2.18,2.51,2.31,2.07,2.67,1.80,2.34,2.01,2.40
Промсвязьбанк,2.17,2.15,2.07,2.79,1.63,2.50,2.67,1.55,1.97,2.48,1.76,1.60,2.19
Национальный Банк «Траст»,2.12,2.73,1.78,2.49,2.30,1.85,1.61,2.70,1.70,2.41,2.65,2.05,2.73
Хоум Кредит Банк,1.82,2.13,1.64,1.70,2.27,1.47,2.19,1.73,1.51,2.23,2.16,2.00,2.13
Ренессанс Кредит,1.89,1.65,1.87,1.60,2.26,1.35,1.95,2.11,1.34,2.25,2.08,2.09,2.45
Ситибанк,1.88,1.35,1.91,1.99,2.10,2.43,2.42,1.38,2.06,2.41,1.32,1.53,1.63
Московский Кредитный Банк,2.04,2.18,1.66,1.93,2.38,1.46,2.54,1.67,1.78,1.85,1.60,1.77,2.04
ВТБ 24,2.04,1.95,2.26,1.78,1.53,1.92,2.55,2.03,2.60,1.99,2.32,1.56,2.03
Райффайзенбанк,2.09,2.39,1.72,1.65,2.39,1.90,1.87,2.63,2.09,2.38,1.67,2.22,2.09
Россельхозбанк,2.03,1.76,2.06,2.24,2.09,2.28,1.84,1.77,1.49,1.59,2.34,1.83,2.63
Юниаструм Банк,2.08,2.65,1.78,2.17,2.68,2.04,2.35,1.61,2.47,1.48,2.49,1.52,2.27
Альфа-Банк,1.88,2.32,1.38,2.23,1.96,1.79,2.17,2.35,1.44,2.40,2.33,1.44,1.64
ФК Открытие,1.97,1.49,1.88,1.77,1.68,1.49,1.44,1.49,2.27,1.64,1.50,2.52,1.74
Газпромбанк,1.85,1.57,2.07,2.36,1.59,1.52,1.77,1.42,1.73,1.57,2.05,2.00,1.35
Сбербанк России,1.59,2.06,1.43,1.19,1.91,1.25,1.86,1.22,1.77,1.12,1.19,1.66,1.56
Русский Стандарт,1.7,2.10,1.90,1.59,1.52,1.51,1.27,1.82,2.17,1.43,1.58,1.64,1.81
Кредит Европа Банк,1.55,1.93,1.54,1.96,1.20,1.70,1.29,1.72,1.53,1.22,1.83,1.94,1.64
Росгосстрах Банк,1.85,1.99,2.38,2.10,1.67,2.10,1.33,2.11,1.70,2.09,1.99,1.84,1.51
Банк Уралсиб,1.87,2.24,1.57,2.38,1.38,1.54,1.91,2.32,2.20,1.50,1.57,2.42,1.31
Банк РСБ 24 (Русславбанк),1.48,1.18,1.33,1.73,1.88,1.21,1.04,1.11,1.34,1.27,1.83,1.58,1.41
Уральский Банк Реконструкции и Развития,1.54,1.68,1.11,1.73,1.89,1.83,1.86,1.40,1.14,1.26,1.62,1.56,1.40
Бинбанк кредитные карты,1.46,1.61,1.66,1.41,1.32,1.79,1.63,1.33,1.30,1.06,1.66,1.58,1.07
Киви Банк,1.23,1.29,1.10,1.47,1.44,1.14,1.27,1.19,0.97,1.45,0.87,1.27,1.19
МТС Банк,1.37,1.73,1.70,1.03,1.72,1.17,1.68,1.01,1.75,1.37,1.33,1.34,1.64
Росбанк,1.49,1.38,1.11,1.79,1.71,1.50,1.69,1.46,1.86,1.53,1.61,1.18,1.27
Русфинанс Банк,1.52,1.63,1.74,1.59,1.45,1.61,1.55,1.65,1.47,1.29,1.60,1.70,1.22
СКБ-Банк,1.4,1.10,1.49,1.59,1.36,1.67,1.30,1.37,1.61,1.34,1.21,1.20,1.05
ОТП Банк,1.4,1.55,1.09,1.61,1.55,1.08,1.29,1.16,1.69,1.72,1.32,1.74,1.70
