,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Росавтобанк,4.74,3.94,3.68,4.85,4.40,3.45,3.34,4.12,3.33,4.69,3.45,4.36,#NUM!
Авангард,3.88,4.29,3.74,4.91,3.55,2.88,4.87,4.83,2.89,3.59,4.91,3.05,#NUM!
Тинькофф Банк,3.68,3.61,2.84,3.48,4.32,3.26,3.12,3.78,3.46,4.61,3.89,4.03,4.60
СБ Банк (Судостроительный банк),4.13,4.97,4.30,3.23,4.40,4.52,4.34,4.35,3.12,3.06,4.01,3.61,#NUM!
ДельтаКредит,3.9,4.84,3.26,4.45,3.34,4.57,3.13,4.79,3.46,2.97,3.81,4.73,#NUM!
СМП Банк,3.69,4.27,3.57,2.97,3.17,2.83,3.12,4.40,2.59,3.43,4.15,4.02,2.89
Промсвязьбанк,2.89,2.45,2.32,3.53,3.46,2.93,3.54,2.50,2.44,2.55,3.43,3.52,2.91
ЮниКредит Банк,2.82,2.65,2.57,3.53,2.58,2.38,2.23,2.40,3.08,2.47,3.57,2.61,3.02
Инвестторгбанк,3.13,2.52,3.20,2.90,2.70,4.05,3.50,3.75,3.89,2.60,2.64,3.30,3.49
2Т Банк,3.03,2.65,2.43,3.12,3.06,2.88,2.69,2.86,3.15,3.32,3.06,2.83,2.82
РосинтерБанк,2.89,3.72,2.43,2.63,2.73,2.70,3.45,2.13,2.70,2.44,3.56,3.21,2.72
Абсолют Банк,2.57,3.13,2.49,2.27,2.77,2.07,3.00,2.01,2.42,2.92,2.41,2.42,2.85
Банк Проектного Финансирования,3.13,2.83,3.35,2.81,2.73,2.56,4.03,3.36,2.52,3.09,3.48,3.24,2.45
Московский Кредитный Банк,2.52,2.70,2.17,2.75,2.18,2.30,2.57,1.81,3.21,2.01,1.77,3.23,2.99
Московский Областной Банк,2.76,2.58,3.47,3.35,3.24,2.35,2.21,3.22,2.33,2.33,2.37,2.33,2.81
Совкомбанк,2.77,3.57,2.32,3.58,2.99,2.51,2.98,3.26,3.24,3.22,3.25,2.38,2.49
МДМ Банк,2.42,1.87,2.17,2.95,2.45,3.10,1.93,2.14,1.85,2.25,2.70,2.10,2.35
Петрокоммерц,2.2,1.67,1.73,2.40,2.58,1.55,1.85,2.82,1.93,1.56,2.84,2.56,2.55
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),2.66,2.04,2.83,2.29,2.52,2.11,2.17,2.52,3.34,1.98,3.42,3.42,2.60
БМ-Банк (бывш. Банк Москвы),2.44,2.59,3.11,1.93,2.90,2.18,2.72,2.28,1.78,2.87,1.84,2.87,1.76
ФК Открытие,2.23,2.52,2.01,2.76,2.35,2.71,2.63,1.70,2.06,2.59,2.35,2.73,2.48
Ситибанк,2.1,1.64,2.47,2.62,2.72,1.76,2.15,2.73,2.66,1.78,2.07,2.31,2.34
Связной Банк,2.22,2.48,1.88,1.76,2.76,2.52,1.86,2.70,1.84,1.93,2.60,2.30,2.27
ВТБ 24,2.15,1.85,1.53,1.51,2.70,2.15,1.60,2.58,2.18,2.68,2.61,1.61,2.05
Хоум Кредит Банк,2.09,2.60,1.62,1.57,1.67,2.43,2.50,2.22,2.66,1.64,2.28,1.82,2.43
Ренессанс Кредит,2.03,1.62,2.39,2.26,2.18,1.94,1.56,2.02,2.38,1.74,2.48,2.40,2.31
Газпромбанк,2.26,2.52,2.33,2.41,1.65,2.36,1.99,1.80,2.79,2.65,2.83,2.78,2.76
Альфа-Банк,2.09,2.54,2.02,2.44,2.24,2.22,2.40,1.80,2.63,1.89,2.56,2.53,2.09
Восточный Экспресс Банк,1.97,2.43,1.63,1.70,1.51,1.71,2.39,2.28,1.79,1.61,1.55,1.42,2.29
Национальный Банк «Траст»,1.86,1.73,2.04,2.41,2.13,1.61,1.76,2.16,1.40,1.72,1.95,2.23,2.36
Сбербанк России,1.62,1.85,1.81,1.77,1.61,2.03,1.62,1.57,1.25,1.97,1.88,2.01,1.42
Бинбанк,1.77,2.02,1.68,2.19,1.49,2.14,1.85,2.04,1.27,1.57,1.54,2.27,1.51
Пушкино,2,1.41,2.42,1.74,1.56,2.50,1.50,1.64,1.78,2.00,1.44,2.06,2.56
Райффайзенбанк,2.05,2.24,2.62,1.68,1.58,2.24,2.41,1.91,1.76,2.24,2.44,1.58,2.25
Мастер-Банк,2.09,1.74,1.82,2.46,2.35,2.51,2.46,1.70,1.55,2.40,1.47,2.50,2.58
Русский Стандарт,1.91,2.15,1.81,1.78,1.55,1.40,2.48,1.83,1.39,1.63,1.76,2.13,1.46
Транскредитбанк,1.62,1.83,1.68,1.67,1.58,1.84,1.40,1.75,1.98,1.74,2.01,1.67,1.25
Ханты-Мансийский банк Открытие,1.8,2.32,2.10,2.24,2.31,1.67,1.43,1.99,1.53,2.02,2.24,1.71,1.71
Банк Уралсиб,1.85,2.34,1.30,1.43,2.10,1.98,1.89,1.30,1.85,2.12,2.05,1.46,1.78
Кредит Европа Банк,1.7,1.70,1.56,1.70,1.66,1.57,2.10,2.11,1.41,1.80,1.96,1.38,1.99
ОТП Банк,1.63,1.43,1.46,1.28,2.05,2.03,1.41,1.76,1.90,1.51,1.68,1.28,1.70
Русфинанс Банк,1.74,1.42,2.26,1.70,1.86,1.42,1.66,1.41,2.04,2.10,1.91,1.81,1.30
Росгосстрах Банк,1.51,1.33,1.48,1.57,1.13,1.89,1.39,1.86,1.66,1.91,1.72,1.11,1.44
СКБ-Банк,1.61,1.14,1.53,1.75,1.87,2.08,1.27,1.24,1.40,1.80,1.48,1.80,1.16
МТС Банк,1.54,1.96,1.46,1.54,1.30,1.75,1.65,1.57,1.36,1.53,1.83,1.86,1.55
Росбанк,1.74,1.58,2.13,2.03,1.76,1.87,1.81,1.74,1.50,1.45,1.63,1.82,1.84
Экспобанк,1.41,1.48,1.59,1.57,1.46,1.79,1.78,1.83,1.15,1.22,1.34,1.51,1.02
Бинбанк кредитные карты,1.39,1.08,1.57,1.24,1.66,1.25,1.35,1.33,1.03,1.36,1.63,0.98,1.60
Юниаструм Банк,1.4,1.47,1.80,1.59,1.46,1.30,1.57,1.47,1.39,1.33,1.01,1.33,1.03
БНП Париба Банк,1.32,1.04,1.30,1.56,1.07,1.70,1.32,1.60,1.38,1.19,1.61,1.51,1.57
