,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
АМТ Банк,4.38,4.21,4.73,3.61,4.45,4.31,4.89,4.59,4.03,4.16,3.23,3.38,#NUM!
Инвестбанк,3.98,4.38,4.69,4.62,4.62,4.16,2.97,4.16,3.24,4.77,2.97,3.42,#NUM!
Авангард,3.69,3.81,3.41,2.71,3.40,3.76,3.95,4.51,3.89,4.36,3.18,3.72,3.59
Тинькофф Банк,3.69,3.54,3.61,3.06,4.52,3.01,4.45,3.06,4.73,2.98,3.29,3.79,2.88
Московский Кредитный Банк,3.66,3.48,3.50,3.27,3.15,2.61,4.64,3.71,3.07,4.33,3.74,4.48,3.92
Юниаструм Банк,3.55,4.20,2.92,4.48,3.69,2.95,4.26,4.53,3.68,4.56,3.50,2.87,2.90
Абсолют Банк,3.7,3.97,4.13,4.27,3.31,4.72,2.74,3.09,3.67,2.78,4.70,4.61,2.75
СМП Банк,3.63,2.84,3.87,2.64,4.02,4.47,3.09,4.36,4.47,4.58,4.01,4.33,4.45
Пробизнесбанк,3.54,4.53,2.70,2.49,4.04,3.99,3.00,3.62,3.22,2.57,3.90,2.97,4.38
Союз,3.71,3.70,4.05,4.02,3.00,2.67,4.04,3.76,3.55,4.35,2.93,4.70,4.13
Первый Республиканский Банк,3.49,3.65,2.53,2.63,4.23,4.29,3.02,2.48,2.51,4.24,3.60,3.45,2.50
Промсвязьбанк,3.26,3.28,3.45,3.43,2.37,2.39,3.95,2.29,3.90,3.69,3.44,3.85,2.64
Инвестторгбанк,3.43,4.44,2.52,4.06,2.97,3.05,3.71,3.22,2.54,4.31,2.57,3.33,2.62
Национальный Банк «Траст»,3.19,2.67,3.09,2.28,2.43,3.26,3.71,3.54,3.99,3.62,3.09,2.95,2.38
ДельтаКредит,3.38,3.34,4.30,3.93,3.31,2.86,4.05,3.94,3.89,2.67,3.93,3.83,3.75
Банк Проектного Финансирования,3.22,2.76,2.91,3.15,3.92,3.24,4.16,2.46,3.18,3.42,2.43,3.58,2.30
Банк Сосьете Женераль Восток,3.24,2.32,2.58,3.02,3.27,4.04,3.88,2.85,3.09,2.72,3.74,4.08,2.91
Ренессанс Кредит,3.08,2.81,3.18,3.24,2.86,2.75,3.42,2.47,3.37,3.43,2.84,2.85,2.32
Банк «Санкт-Петербург»,3.28,4.00,4.02,3.35,3.75,2.86,4.19,3.83,2.56,3.36,3.77,2.46,4.25
Московский Областной Банк,3.07,3.57,2.43,2.26,3.28,2.94,3.58,2.31,2.84,2.71,2.69,3.02,3.89
Бинбанк,3.02,2.79,3.01,3.69,2.50,3.45,3.14,2.24,3.35,2.60,3.29,3.35,2.86
Ханты-Мансийский банк Открытие,2.99,2.32,2.87,3.64,3.80,3.00,2.67,2.99,2.61,2.72,3.41,3.49,2.66
Собинбанк,2.93,3.37,2.40,3.63,2.93,3.48,2.47,2.64,2.26,3.57,2.79,2.88,3.29
ЮниКредит Банк,2.87,2.82,3.16,3.67,3.28,3.21,2.99,2.74,3.64,3.14,2.73,2.62,2.38
ФК Открытие,2.92,3.56,3.41,2.61,2.12,2.92,3.03,2.76,2.33,2.07,2.14,2.26,2.57
МТС Банк,2.98,3.58,3.57,2.90,2.13,2.12,2.44,3.78,2.72,3.78,3.29,3.81,3.85
Восточный Экспресс Банк,2.72,1.98,1.96,2.27,2.05,2.71,2.88,3.37,2.18,2.93,3.15,2.22,3.20
Росгосстрах Банк,2.66,2.75,2.39,2.51,3.31,1.99,2.88,3.33,1.97,2.76,2.82,2.61,2.13
