,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Росавтобанк,4.7,4.23,4.43,3.95,4.56,4.94,3.60,3.43,3.35,3.64,4.16,4.02,#NUM!
ДельтаКредит,4.17,4.42,4.33,3.93,3.78,3.36,3.82,4.23,4.22,4.31,3.30,4.18,#NUM!
Тинькофф Банк,3.79,3.13,3.39,3.25,3.98,3.77,2.66,3.87,3.53,2.68,2.99,4.23,2.82
Авангард,3.85,3.46,4.32,2.92,4.95,3.27,3.02,3.31,4.75,4.29,4.06,2.95,#NUM!
Нордеа Банк,3.91,3.22,3.34,4.72,3.43,3.76,3.86,4.27,3.50,3.26,4.00,4.37,#NUM!
СМП Банк,3.53,3.70,3.68,4.29,2.85,2.76,3.78,4.41,4.24,2.85,3.36,3.97,4.25
Абсолют Банк,3.5,3.42,3.95,2.87,4.23,4.13,4.13,4.05,3.74,3.61,4.05,4.41,4.17
Банк Проектного Финансирования,3.46,4.13,2.92,3.51,4.29,3.03,2.53,4.33,3.24,4.16,3.45,2.97,4.24
Хоум Кредит Банк,2.73,2.88,2.42,2.95,2.32,2.69,2.65,2.19,2.88,2.35,3.35,1.97,2.07
Фининвест,3.03,3.49,3.14,2.41,3.76,2.37,3.14,2.15,2.19,2.57,2.64,2.17,2.81
Банк24.ру,3.06,3.01,2.18,3.57,3.94,3.63,2.40,3.87,3.53,3.93,2.60,3.43,2.70
Совкомбанк,3.08,3.45,2.87,2.92,3.40,3.63,3.03,3.18,2.32,2.62,2.91,2.60,3.24
Московский Областной Банк,2.89,2.82,2.75,2.24,3.07,2.88,2.55,2.33,2.41,3.09,3.57,3.08,3.41
МДМ Банк,2.21,2.03,2.00,1.80,2.83,2.81,1.61,1.99,1.63,2.13,1.79,2.34,2.87
Промсвязьбанк,2.38,2.68,2.94,2.59,2.30,2.00,1.76,2.33,1.74,2.65,2.70,1.72,1.75
ЮниКредит Банк,2.43,2.59,2.21,1.80,2.01,2.68,2.80,2.96,2.54,2.81,1.94,2.08,1.76
Московский Кредитный Банк,2.56,2.57,3.32,2.16,2.93,3.15,1.82,1.90,3.18,2.61,1.93,3.15,2.55
ВТБ 24,2.33,2.22,2.40,2.88,2.31,2.87,2.88,1.80,1.80,2.36,2.90,1.65,2.48
Западный,2.64,3.33,3.12,2.13,2.52,2.19,2.39,2.56,3.41,3.30,1.99,2.79,1.87
Ренессанс Кредит,2.18,1.79,1.57,1.89,2.30,2.10,1.53,1.98,2.77,2.12,1.84,2.75,2.32
ФК Открытие,2.34,2.44,1.83,3.01,2.42,1.69,2.04,1.85,1.94,2.28,2.13,2.85,1.78
Росгосстрах Банк,2.23,2.47,2.85,2.28,2.55,2.77,2.16,2.09,2.30,1.74,2.02,2.88,2.66
Сбербанк России,1.74,1.51,1.40,1.99,1.97,1.60,1.39,1.61,1.96,1.82,1.59,1.58,1.63
Альфа-Банк,2.14,1.57,1.78,1.79,2.46,2.40,1.68,2.27,2.07,2.66,2.01,1.97,2.48
Национальный Банк «Траст»,2.2,1.78,2.66,2.80,2.65,2.68,1.90,2.46,2.71,2.63,2.44,2.50,1.55
Связной Банк,2.24,1.87,2.34,2.37,2.77,1.72,2.12,2.00,1.99,1.67,2.59,2.48,2.04
МТС Банк,2.19,2.06,2.67,2.12,1.73,2.52,2.17,2.52,2.77,1.64,2.30,2.45,1.76
Ханты-Мансийский банк Открытие,2.21,1.74,2.70,2.01,2.55,1.97,1.87,2.28,2.53,1.62,2.56,1.71,2.35
Ситибанк,2.19,1.72,2.29,2.44,1.98,2.77,2.02,2.78,2.16,2.50,2.75,1.60,2.47
Россельхозбанк,2.44,2.79,3.14,2.60,2.75,2.49,2.57,2.02,1.72,2.67,2.64,2.12,2.59
Океан Банк,2.07,1.75,2.32,2.55,1.54,1.52,1.58,1.87,1.92,2.56,1.76,2.23,2.35
Возрождение,2.16,2.55,1.95,1.58,2.69,2.45,2.11,1.65,2.41,2.57,1.78,1.90,2.12
Восточный Экспресс Банк,1.89,1.67,2.13,1.89,1.85,2.00,1.92,1.78,1.83,1.66,1.99,2.33,1.68
Русский Стандарт,2.03,2.61,1.90,2.05,2.49,2.34,2.52,2.17,1.62,1.91,1.86,1.89,1.60
Райффайзенбанк,2.08,2.53,2.28,1.57,1.68,2.05,1.51,1.85,1.69,1.99,1.91,2.15,1.64
Бинбанк,1.93,2.04,1.59,2.08,1.49,2.20,1.48,2.05,1.36,2.31,1.77,1.44,1.49
Банк Уралсиб,2.14,1.94,1.92,2.26,1.70,2.14,2.05,2.56,2.68,1.50,1.82,1.83,2.16
Русфинанс Банк,2.13,2.74,1.56,1.63,1.90,2.65,1.92,1.65,1.71,2.46,2.17,2.24,2.11
Мастер-Банк,1.77,2.13,1.48,1.81,1.55,2.10,1.78,1.28,1.25,2.10,1.33,1.63,2.05
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),1.97,2.19,2.52,1.38,1.45,2.02,1.74,2.35,1.72,2.54,2.52,1.69,2.48
ОТП Банк,1.94,2.19,2.39,2.22,1.87,1.49,1.72,2.02,2.35,2.15,1.49,1.92,1.98
Газпромбанк,1.82,1.77,1.49,2.24,1.40,1.76,1.53,1.60,1.71,1.60,1.46,2.25,1.89
Экспобанк,1.8,2.11,1.52,1.75,1.88,1.56,1.58,2.17,1.32,2.26,1.35,1.27,1.52
Собинбанк,1.77,1.42,1.57,1.99,1.99,1.45,2.07,1.96,1.37,1.34,2.19,1.70,1.93
Кредит Европа Банк,1.92,1.94,1.65,1.50,1.50,2.17,2.10,2.09,2.36,2.02,1.51,1.37,1.80
БМ-Банк (бывш. Банк Москвы),1.69,2.09,1.57,1.21,1.61,1.44,1.62,1.38,2.19,1.98,1.66,1.60,1.85
Бинбанк кредитные карты,1.71,1.64,2.20,1.30,1.87,1.72,2.00,1.40,1.97,1.56,1.55,1.49,1.22
Росбанк,1.8,2.17,1.62,1.93,1.86,1.55,1.52,1.82,1.76,1.64,1.76,1.27,1.51
БНП Париба Банк,1.43,1.61,1.55,1.79,1.27,1.26,1.36,1.07,1.52,1.01,1.32,1.07,1.18
Юниаструм Банк,1.47,1.81,1.51,1.76,1.03,1.61,1.73,1.15,1.75,1.72,1.47,1.68,1.91
