,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Авангард,3.67,4.56,3.57,3.53,3.27,2.81,4.01,4.40,4.27,2.68,4.75,3.61,4.13
ЮниКредит Банк,3.65,3.00,3.28,3.31,3.99,4.39,4.11,2.57,4.32,3.25,3.82,3.36,3.91
Пробизнесбанк,3.72,3.07,3.27,3.98,3.20,3.58,3.43,4.02,3.21,3.70,2.91,3.25,3.97
Первый Республиканский Банк,4.04,4.58,3.37,2.91,4.61,3.36,4.33,3.41,4.33,3.53,4.99,3.93,#NUM!
Ханты-Мансийский банк Открытие,3.47,2.52,3.55,2.79,3.46,2.80,3.81,4.45,3.83,4.15,3.33,2.77,2.96
Глобэкс,3.7,2.62,3.36,3.40,3.57,4.10,3.93,4.32,4.35,4.21,3.63,4.05,4.63
Московский Кредитный Банк,3.68,2.68,3.36,3.85,4.73,2.91,4.63,4.71,3.39,3.11,3.86,3.37,3.17
Абсолют Банк,3.39,4.28,2.85,2.76,2.64,3.02,3.00,3.26,3.65,4.09,2.97,2.54,3.68
Райффайзенбанк,3.29,2.79,3.97,2.50,2.39,3.85,3.87,3.59,2.40,2.66,4.00,2.99,3.96
МДМ-Банк,3.3,2.35,2.33,3.35,2.33,3.78,3.73,2.55,2.35,2.44,2.67,2.61,3.72
Петрокоммерц,3.82,3.74,4.86,3.94,3.08,2.93,4.49,2.86,2.98,2.68,4.55,2.73,4.51
Межпромбанк Плюс,3.76,2.85,3.58,3.89,3.01,4.10,2.86,2.79,2.74,4.28,4.76,3.16,2.83
Национальный Банк «Траст»,3.5,2.96,4.05,3.06,2.88,2.57,3.07,4.07,3.38,3.66,2.73,4.51,3.51
ИМПЭКСБанк,3.12,2.87,2.30,3.26,2.99,3.80,3.33,2.24,4.01,3.27,3.30,3.99,2.71
РосЕвроБанк,3.31,4.09,2.53,2.91,3.23,3.15,3.19,3.32,2.81,3.92,3.84,3.54,2.51
Балтийский Банк,3.11,3.92,2.68,2.78,2.48,3.77,3.45,4.00,3.59,2.57,3.36,3.34,3.57
Банк Сосьете Женераль Восток,3.05,2.82,3.19,3.40,2.68,2.92,2.33,3.49,2.26,3.79,3.39,3.06,3.36
Собинбанк,2.98,2.83,3.52,2.80,3.59,2.46,2.77,3.84,2.34,3.00,2.58,2.19,3.02
АМТ Банк,3.43,3.57,2.82,3.69,2.98,3.20,2.82,3.52,3.00,3.86,3.07,3.54,3.08
Бинбанк,3.06,3.96,2.96,2.60,2.96,2.34,3.50,3.42,2.62,3.90,2.89,3.37,3.66
МТС Банк,3.06,3.22,3.08,3.72,3.18,3.95,3.49,2.31,2.53,3.10,2.18,2.32,3.12
Бест Эффортс Банк,3.06,2.37,3.51,3.26,3.67,3.85,2.17,2.51,3.34,3.94,2.56,3.70,3.07
Юниаструм Банк,2.8,2.55,3.34,2.50,2.54,2.25,2.67,2.07,3.61,2.49,2.27,1.99,2.26
ВТБ Северо-Запад,2.92,3.21,2.69,2.86,2.87,3.32,2.75,2.32,2.46,3.36,3.57,3.70,2.92
Бинбанк кредитные карты,2.8,2.81,3.36,2.92,2.55,3.37,3.40,3.04,2.94,2.45,1.97,2.67,2.56
Межрегиональный Почтовый Банк,2.65,2.35,3.13,3.30,2.37,2.08,2.98,2.62,2.66,1.94,2.64,2.76,3.20
Газпромбанк,2.66,2.44,3.42,3.38,3.09,2.72,2.55,3.04,3.24,1.93,3.15,2.79,3.01
ОТП Банк,2.75,2.62,2.67,2.68,3.03,3.44,3.44,1.96,2.01,2.21,2.73,3.33,3.21
Возрождение,2.62,2.67,1.90,2.99,2.00,1.99,2.72,2.97,2.08,3.29,2.55,1.89,3.16
Мастер-Банк,2.65,3.09,2.42,2.87,2.20,2.34,3.04,3.31,2.20,3.31,1.86,1.95,3.44
Союз,2.66,2.48,1.99,3.06,3.13,3.29,3.37,3.40,2.11,2.44,2.57,2.17,2.09
Славянский Кредит,2.45,2.81,3.14,1.77,2.86,2.80,2.55,2.63,2.26,1.97,2.89,2.38,1.96
Московский Индустриальный Банк,2.34,2.30,2.43,1.80,2.62,3.01,2.78,2.60,2.97,1.74,2.33,2.75,1.77
Банк «Санкт-Петербург»,2.21,2.73,2.67,1.56,1.94,2.52,2.03,2.73,1.92,2.50,1.66,2.28,1.70
БМ-Банк (бывш. Банк Москвы),2.58,2.72,2.25,2.00,2.81,2.43,2.50,1.90,2.42,2.78,3.01,3.29,3.18
Инвестторгбанк,2.41,1.91,1.88,2.80,1.88,3.02,2.32,3.09,2.25,1.76,1.78,1.73,2.44
Ренессанс Кредит,2.53,2.01,2.61,2.46,2.88,2.64,2.59,2.66,2.33,2.83,2.14,3.14,2.91
Сбербанк России,2.53,3.24,2.05,2.68,2.97,2.58,2.15,3.26,1.87,2.64,1.95,3.15,3.01
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),2.39,3.07,2.52,1.95,1.75,2.09,3.00,1.85,2.15,2.96,2.39,2.12,2.53
Альфа-Банк,2.46,3.13,2.88,2.22,2.45,3.04,2.38,2.17,1.99,2.21,3.03,3.01,2.74
Банк Уралсиб,2.38,2.55,1.97,2.17,1.76,2.80,3.04,1.86,2.39,1.97,2.08,1.76,2.65
Промсвязьбанк,2.32,1.87,2.54,2.29,2.05,2.49,1.65,1.80,2.29,1.85,2.85,2.71,2.32
Русский Стандарт,2.4,1.79,2.03,3.02,2.79,1.97,2.50,1.77,2.36,2.04,2.48,3.03,2.36
ВТБ Банк Москвы,2.22,1.59,2.03,2.07,2.63,2.40,1.80,2.63,2.43,2.87,1.74,2.51,1.98
Кредит Европа Банк,2.3,1.96,1.83,2.36,2.04,2.85,2.35,2.63,2.86,2.86,2.31,1.79,2.79
ВТБ 24,2.37,1.94,2.69,2.54,2.16,1.97,2.08,2.54,1.78,2.39,1.81,1.98,2.50
Росбанк,2.36,2.39,3.03,2.20,2.85,2.90,2.90,2.26,3.00,1.87,2.17,1.82,2.31
СДМ-Банк,1.47,1.33,1.40,1.29,1.47,1.65,1.10,1.78,1.60,1.61,1.87,1.43,1.44
Ситибанк,2.21,2.23,2.03,2.78,2.42,1.80,1.69,2.73,1.99,1.64,2.30,2.75,2.51
Хоум Кредит Банк,2.01,1.88,1.74,2.58,1.66,1.92,2.39,2.04,1.45,1.94,2.22,1.87,1.85
