,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Пробизнесбанк,3.9,4.20,3.42,4.30,3.62,2.83,3.04,4.92,3.93,3.02,4.19,3.10,#NUM!
Первый Республиканский Банк,4.59,3.61,3.25,4.19,4.30,4.03,4.76,3.88,4.27,3.97,4.51,3.87,#NUM!
Авангард,3.7,3.47,3.02,3.58,4.66,4.58,2.79,4.27,2.76,3.27,4.16,4.81,3.60
ЮниКредит Банк,3.78,4.42,4.16,4.55,2.92,4.44,4.02,4.85,3.69,3.14,4.84,3.34,3.42
Экспобанк,4.21,4.85,4.76,3.91,4.65,4.60,3.78,3.83,4.16,3.20,3.40,4.69,#NUM!
Райффайзенбанк,3.6,3.42,3.46,4.41,3.70,2.69,4.45,3.87,3.83,2.84,4.27,4.67,2.67
Бинбанк,3.62,3.28,3.20,2.71,4.51,3.23,3.95,4.35,4.46,4.29,3.09,3.82,3.07
Московский Кредитный Банк,3.72,3.79,4.33,3.19,4.18,3.34,4.01,4.30,4.80,3.69,3.17,3.64,3.39
Банк Сосьете Женераль Восток,3.57,3.09,4.45,3.96,4.44,3.61,3.31,3.38,2.73,4.44,4.53,4.57,4.59
Банк24.ру,4.3,4.31,3.43,3.51,4.10,3.42,4.63,3.12,4.77,3.97,4.71,4.72,#NUM!
Абсолют Банк,3.55,3.51,3.35,2.57,2.88,2.86,3.04,3.99,2.69,4.60,4.22,3.84,3.75
Петрокоммерц,3.59,4.51,4.48,3.51,3.66,3.93,4.13,3.95,4.60,3.31,4.44,3.64,3.71
Банк «Открытие»,3.49,3.22,3.76,3.15,2.68,4.26,2.71,2.51,2.91,3.44,3.66,4.12,3.08
Возрождение,3.63,2.89,3.38,4.36,3.21,2.75,2.71,2.97,4.67,4.22,4.49,2.57,3.18
Союз,3.63,4.17,3.51,3.80,3.74,2.62,2.68,4.14,3.29,4.31,3.31,4.26,3.78
ВТБ Северо-Запад,3.7,2.78,3.63,4.07,3.61,3.36,3.68,3.52,3.78,4.27,4.11,2.88,3.45
ОТП Банк,3.36,2.89,2.58,3.13,2.48,2.98,3.36,3.92,4.33,4.33,2.79,4.04,2.75
Глобэкс,3.32,3.12,3.39,3.21,2.39,2.33,3.13,2.95,2.50,3.61,3.19,3.23,4.04
ВТБ 24,3.19,2.29,3.71,3.14,2.88,3.69,2.48,3.38,2.42,3.26,3.00,3.66,3.58
ИМПЭКСБанк,3.17,2.53,3.61,3.09,3.16,2.28,2.67,3.68,4.11,3.00,2.51,3.88,3.56
Международный Промышленный Банк,3.59,3.15,3.45,3.44,3.10,4.60,3.68,3.94,3.18,3.26,3.59,4.40,4.37
Славянский Кредит,3.2,2.42,2.24,2.27,3.40,2.30,3.76,3.92,3.40,3.95,2.83,2.27,3.91
Собинбанк,3.12,2.88,2.45,2.65,2.92,3.70,3.15,2.67,2.51,2.32,3.68,3.04,2.26
МДМ-Банк,3.1,2.41,3.53,3.31,3.91,3.90,3.73,2.91,3.84,2.54,2.83,3.13,3.47
Инвестторгбанк,3.25,4.07,3.68,2.28,3.83,3.20,3.60,2.86,2.33,2.81,3.89,2.98,2.87
Хоум Кредит Банк,3.01,3.29,3.09,3.09,2.69,3.56,3.74,2.56,2.53,2.91,3.02,2.81,3.86
Промсвязьбанк,3.07,2.63,3.84,2.87,2.18,3.43,3.41,2.74,2.61,3.17,3.48,3.68,2.88
Лефко-Банк,3.11,2.21,2.65,3.84,3.72,2.30,3.07,2.66,2.83,2.36,2.73,2.70,3.44
ДельтаКредит,3.11,2.86,3.68,2.40,3.06,2.73,2.77,3.75,3.91,2.39,2.23,3.73,2.27
Банк Уралсиб,2.98,2.57,3.64,3.60,3.71,3.79,2.23,3.12,3.08,3.36,3.76,2.43,2.59
МТС Банк,2.94,3.12,3.54,2.58,2.84,2.77,2.10,3.46,2.48,3.07,2.14,2.08,2.54
Балтийский Банк,2.88,2.41,2.34,3.37,3.73,2.24,2.07,3.00,3.20,3.46,2.66,3.63,2.09
ВТБ Банк Москвы,2.92,2.81,3.57,2.58,3.34,2.12,3.50,3.48,2.26,2.08,3.39,2.80,3.04
Альфа-Банк,2.89,2.42,2.89,3.05,3.01,3.74,3.34,2.04,2.72,2.53,3.02,2.89,3.08
Банк Жилищного Финансирования,2.77,3.09,3.55,3.30,2.70,3.49,3.04,2.65,3.56,2.92,2.14,2.77,2.23
Ренессанс Кредит,2.86,2.46,2.48,2.27,2.92,3.25,2.02,3.43,3.42,2.26,2.99,2.09,2.17
