,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Авангард,3.82,3.51,2.84,4.31,4.88,4.37,4.79,4.04,3.65,3.37,4.01,3.81,4.59
Северная Казна,4.32,4.95,3.92,4.94,3.05,3.54,4.47,3.61,4.69,3.04,3.97,3.15,#NUM!
Витас Банк,4,4.25,3.71,3.83,4.00,2.96,3.43,3.53,3.49,4.51,4.60,4.19,#NUM!
Абсолют Банк,3.31,2.96,3.88,2.62,3.75,2.72,3.42,4.06,3.94,2.55,3.42,3.27,2.73
Ханты-Мансийский банк Открытие,3.29,4.09,2.57,3.66,2.94,3.58,2.56,4.15,2.99,3.94,2.49,2.77,2.42
Капитал Кредит,3.35,3.85,2.39,3.78,4.14,3.42,2.53,4.12,3.43,3.04,3.22,3.70,4.27
Пробизнесбанк,3.16,4.04,3.54,3.53,3.00,2.40,2.43,2.42,2.25,3.89,3.70,3.30,2.38
Промсвязьбанк,3.1,2.71,2.47,3.48,2.45,3.94,2.27,2.47,2.89,3.93,4.01,2.77,3.97
Банк Сосьете Женераль Восток,3.11,3.85,3.16,2.28,3.01,2.68,3.76,3.48,3.98,3.40,2.30,3.61,2.40
МТС Банк,3.04,3.93,3.42,2.52,2.94,3.02,2.69,2.94,3.28,2.23,2.76,2.65,2.38
Русфинанс Банк,3.2,2.95,3.22,2.92,2.89,3.95,4.07,2.37,2.48,2.69,2.67,3.34,3.70
ЮниКредит Банк,2.95,2.19,3.16,2.97,3.50,3.55,3.55,2.81,2.47,2.29,2.96,3.69,3.73
Глобэкс,2.98,2.72,2.64,3.13,3.67,3.86,3.10,3.22,2.12,3.71,3.33,3.86,3.54
Юниаструм Банк,2.89,2.10,2.18,2.78,2.86,3.21,2.55,3.35,2.99,3.70,2.82,3.35,3.07
СДМ-Банк,2.93,2.69,3.04,3.79,2.63,3.41,3.70,3.68,3.77,3.74,3.57,2.11,3.15
Банк Финсервис,2.8,3.25,2.50,3.32,3.55,2.56,2.17,2.89,2.09,2.48,3.19,3.42,2.71
Бинбанк Столица,3.14,2.34,3.49,3.47,3.66,3.19,4.07,2.72,2.38,2.31,3.72,3.63,2.75
Московский Индустриальный Банк,3,2.96,2.62,3.18,2.87,3.27,2.13,3.52,2.64,2.86,2.29,2.79,3.42
Мастер-Банк,2.82,3.39,3.53,2.63,2.69,2.06,2.94,2.79,3.32,2.94,2.31,3.49,3.05
Банк Интеза,2.84,3.62,3.25,2.02,2.86,3.20,2.14,2.12,2.86,3.20,2.83,2.47,2.40
Бинбанк,2.68,3.30,2.65,2.38,2.00,2.22,1.91,1.94,2.32,2.44,2.34,2.64,3.44
Возрождение,2.68,2.34,1.96,1.88,3.26,2.82,3.37,2.99,2.37,2.92,2.47,2.49,2.87
Московский Кредитный Банк,2.71,2.35,1.96,3.23,2.54,3.05,2.25,3.34,2.41,3.24,2.91,2.34,2.09
Русский Стандарт,2.62,3.21,2.92,2.63,2.32,2.88,2.39,2.62,3.15,2.25,2.05,3.35,2.05
Союз,2.66,3.38,3.19,2.43,3.24,1.89,2.21,2.98,2.00,2.41,3.12,1.94,2.01
Банк «Санкт-Петербург»,2.56,2.75,2.06,2.87,2.79,1.87,2.83,2.52,2.07,1.81,2.33,2.82,2.28
Райффайзенбанк,2.65,2.45,2.16,2.05,2.58,2.08,2.15,2.16,3.43,2.30,2.75,3.11,2.53
МДМ-Банк,2.57,2.62,1.86,1.80,1.84,3.11,2.80,3.21,2.55,3.19,2.84,2.54,2.95
АМТ Банк,2.47,2.68,2.07,1.95,2.27,2.92,2.11,3.14,2.88,2.10,1.85,2.52,2.07
Альфа-Банк,2.5,1.79,2.01,2.42,2.81,2.73,2.62,2.36,2.65,1.82,1.75,1.79,3.08
ОТП Банк,2.44,1.78,1.74,2.95,2.37,2.96,2.41,2.83,2.06,2.31,3.12,2.30,2.01
Собинбанк,2.46,3.07,2.20,3.16,2.59,2.97,1.84,2.11,2.27,2.02,1.94,2.37,2.84
КИТ Финанс Инвестиционный Банк,2.43,2.46,2.40,1.99,1.94,2.24,3.08,2.44,2.38,2.78,2.50,3.12,2.19
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),2.42,2.55,2.90,2.35,2.88,2.37,2.52,3.09,3.09,2.72,3.07,2.33,2.88
Петровский,2.34,2.07,2.72,1.89,1.68,2.50,2.89,3.00,2.09,2.81,2.53,1.78,3.04
ВТБ Северо-Запад,2.18,1.55,2.72,2.35,1.93,2.46,2.24,2.52,2.40,1.68,2.57,2.34,1.97
Национальный Банк «Траст»,2.39,3.05,1.72,1.85,1.91,2.64,1.99,2.03,2.55,2.37,2.16,2.88,2.60
Банк Уралсиб,2.46,2.68,3.01,2.33,1.79,2.41,1.74,2.64,2.06,2.24,2.96,3.00,2.09
РосЕвроБанк,2.12,2.07,2.28,2.70,1.74,2.36,2.52,2.28,1.81,1.69,1.58,1.55,2.01
Бинбанк кредитные карты,2.3,1.73,1.91,2.86,2.22,1.99,2.78,1.61,2.39,1.76,2.26,2.18,1.71
Газпромбанк,2.12,2.60,1.82,2.33,2.37,2.53,2.31,2.65,1.79,1.69,2.31,2.46,1.61
Балтийский Банк,2.26,2.21,2.29,2.11,1.88,2.50,2.77,1.83,2.18,2.91,2.57,1.80,2.33
Ситибанк,2.32,1.92,2.64,2.18,2.89,2.28,2.13,2.79,2.08,2.98,1.76,2.53,2.48
