,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Авангард,3.33,2.55,4.25,3.85,3.69,3.23,2.82,3.81,3.50,3.31,2.81,3.07,3.60
Тинькофф Банк,3.21,3.71,3.00,3.34,3.54,3.89,3.41,3.51,3.17,4.03,2.52,3.07,3.68
Модульбанк,3.53,4.36,3.47,3.00,3.44,4.27,3.60,2.97,3.17,3.51,3.38,3.44,4.30
Транскапиталбанк (ТКБ),2.74,2.26,3.52,2.27,3.09,3.50,2.83,2.30,2.69,3.13,3.50,3.50,3.09
ДельтаКредит,2.72,1.91,2.29,3.30,2.03,2.80,2.47,2.01,2.63,2.55,3.01,2.88,3.37
Русфинанс Банк,2.45,2.73,2.22,2.75,2.89,1.74,2.16,3.04,2.68,2.45,2.82,2.89,2.71
Альфа-Банк,1.92,2.32,2.22,2.18,2.00,2.11,1.60,2.09,1.71,2.27,1.75,1.60,2.03
ЮниКредит Банк,1.75,1.24,1.61,1.32,1.43,2.02,2.24,2.11,1.92,1.51,1.30,2.00,1.49
Сетелем Банк,1.76,2.27,2.11,1.72,2.06,1.71,1.66,2.00,1.92,1.24,2.11,1.52,1.34
ФК Открытие,1.83,2.10,2.31,2.29,1.35,1.69,2.37,1.73,1.77,2.08,1.63,2.18,1.67
Ренессанс Кредит,1.63,1.21,1.61,1.74,1.15,1.67,1.55,1.49,1.31,1.60,1.41,1.53,1.99
ВТБ 24,1.77,1.60,1.79,1.56,1.88,1.25,1.54,1.72,2.20,2.21,1.44,1.55,1.47
Промсвязьбанк,2.05,1.62,2.10,1.92,1.48,2.24,2.63,1.77,2.59,2.65,2.40,2.62,2.58
Банк «Санкт-Петербург»,1.78,2.29,2.15,1.35,1.86,2.31,1.90,1.58,1.95,2.29,1.54,1.99,1.27
Локо-Банк,1.63,1.61,2.09,1.19,1.89,2.05,1.43,1.87,1.68,1.87,1.75,1.21,1.19
Совкомбанк,1.56,1.95,1.73,2.01,1.48,1.23,1.87,1.51,1.67,1.74,1.59,1.59,1.98
Ситибанк,2.01,2.01,2.20,2.43,1.89,2.02,2.05,2.46,2.48,1.96,1.72,1.73,2.51
Московский Кредитный Банк,1.86,2.02,2.30,1.66,1.66,2.38,1.61,1.39,2.40,2.04,2.02,1.50,2.19
Райффайзенбанк,1.77,2.05,1.46,1.84,1.26,2.17,1.98,2.18,1.69,1.77,1.54,1.92,1.87
Почта Банк,1.66,1.52,1.30,2.03,2.00,1.43,1.47,1.46,1.88,1.66,1.55,2.05,1.73
Восточный Экспресс Банк,1.52,1.22,1.40,1.84,1.09,1.19,1.29,1.12,1.97,1.50,1.59,1.40,1.70
Яндекс.Деньги,1.42,1.38,1.05,1.80,1.08,1.48,1.02,1.46,1.72,1.35,1.41,1.22,1.60
Хоум Кредит Банк,1.55,1.51,1.76,1.12,1.77,1.43,1.57,1.30,1.70,1.82,1.35,1.10,1.13
Абсолют Банк,1.83,1.30,2.21,1.85,1.71,1.90,1.78,1.69,2.37,2.35,1.97,1.59,2.11
ОТП Банк,1.44,1.86,1.72,1.06,1.10,1.48,1.32,1.79,1.13,1.08,1.36,1.13,1.81
Московский Индустриальный Банк,1.6,1.63,1.41,1.40,1.14,1.28,1.89,1.96,2.01,1.15,1.78,1.96,1.78
Ак Барс,1.53,1.29,1.19,1.71,1.40,1.79,1.72,1.65,1.76,1.68,1.15,1.11,1.14
Россельхозбанк,1.52,1.35,1.08,1.90,1.65,1.22,1.63,1.34,1.20,1.96,1.19,1.78,1.24
Бинбанк,1.56,1.69,1.34,1.39,1.16,1.84,1.16,1.17,2.00,1.35,1.97,1.51,2.02
Кредит Европа Банк,1.54,1.47,1.19,1.62,1.19,1.44,1.97,1.69,1.89,1.93,1.49,1.91,1.77
Русский Стандарт,1.49,1.49,1.39,1.65,1.84,1.93,1.20,1.86,1.13,1.74,1.06,1.83,1.33
СМП Банк,1.68,2.10,2.05,1.23,1.27,2.15,1.92,1.52,1.87,1.48,1.94,1.71,1.22
Бинбанк Столица,1.62,1.36,2.01,1.74,1.14,1.55,1.15,1.59,1.61,1.73,1.19,1.91,1.42
Тач Банк,1.65,1.98,2.12,1.66,1.70,1.20,1.22,1.18,2.04,1.46,1.30,1.41,1.36
Росбанк,1.51,1.19,1.59,1.65,1.96,1.58,1.36,1.76,1.45,1.25,1.46,1.59,1.51
Уральский Банк Реконструкции и Развития,1.45,1.24,1.23,1.83,1.11,1.03,1.17,1.41,1.35,1.73,1.35,1.23,1.06
Сбербанк России,1.37,1.40,1.76,1.61,1.58,1.61,1.07,1.45,1.47,1.50,1.62,1.21,1.39
Национальный Банк «Траст»,1.38,1.24,1.28,0.98,1.69,1.20,1.16,1.71,1.29,1.70,1.73,1.23,0.99
МТС Банк,1.46,1.67,1.55,1.06,1.50,1.60,1.63,1.24,1.72,1.11,1.08,1.52,1.16
Возрождение,1.26,1.63,1.24,1.28,1.57,1.54,0.95,1.09,1.35,1.62,1.25,1.63,1.44
Киви Банк,1.54,1.53,1.40,1.58,1.41,1.84,1.39,1.62,1.10,1.13,1.82,1.10,1.35
Юниаструм Банк,1.63,2.02,2.07,1.96,2.08,1.71,1.90,1.35,1.55,1.51,1.68,1.51,1.36
Банк Уралсиб,1.42,1.59,1.09,1.19,1.16,1.77,1.72,1.35,1.55,1.34,1.67,1.26,1.55
Югра,1.51,1.81,1.92,1.16,1.77,1.48,1.55,1.76,1.26,1.74,1.68,1.65,1.28
Росгосстрах Банк,1.34,1.31,1.26,1.23,0.96,1.43,1.21,0.96,1.65,1.41,1.08,1.30,1.66
Бинбанк кредитные карты,1.22,1.16,0.89,0.94,0.90,1.47,1.09,1.09,1.08,1.12,0.99,1.19,1.20
Российский Капитал,1.29,0.91,1.41,1.28,1.16,0.99,1.46,1.57,1.36,1.38,1.61,0.91,1.63
ВТБ Банк Москвы,1.48,1.17,1.22,1.67,1.23,1.92,1.20,1.87,1.38,1.77,1.87,1.49,1.18
Газпромбанк,1.36,1.58,1.34,1.49,1.40,1.26,1.32,1.21,1.64,1.51,1.11,1.41,1.29
СКБ-Банк,1.34,1.63,1.21,1.57,1.13,1.27,1.14,1.19,1.01,1.03,1.11,1.04,1.46
